GameStatusSnapshotKey,DimAccountKey,Rank,AccountValue,BuyingPower,Cash,Profit,GameKey,SnapshotDateString,SnapshotDateKey,Info
1508161,,7750,-27664.79,-27664.79,-27664.79,-127.66,172134,2014-05-09,,AccountValue is Negative
1508174,,7752,-592356.80,-592356.80,-592356.80,-692.36,172134,2014-05-09,,AccountValue is Negative
1508319,,7749,-14628.87,-14628.87,-14628.87,-114.63,172134,2014-05-09,,AccountValue is Negative
1509423,,7753,-607967.05,-607967.05,-607967.05,-707.97,172134,2014-05-09,,AccountValue is Negative
1510122,,7751,-99053.32,-99053.32,-99053.32,-199.05,172134,2014-05-09,,AccountValue is Negative
1510467,,7754,-1799177.54,-1799177.54,-1799177.54,-1899.18,172134,2014-05-09,,AccountValue is Negative
1514794,,70210,-29894.90,-29894.90,-29894.90,-129.89,211140,2014-05-09,,AccountValue is Negative
1517347,,70211,-30291.33,-30291.33,-30291.33,-130.29,211140,2014-05-09,,AccountValue is Negative
1518235,,70214,-48806.73,17489.32,83785.37,-149.44,211140,2014-05-09,,AccountValue is Negative
1518457,,70209,-22021.40,-22021.40,-22021.40,-122.02,211140,2014-05-09,,AccountValue is Negative
1521546,,70220,-1490025.44,-1490025.44,-1490025.44,-1590.03,211140,2014-05-09,,AccountValue is Negative
1524483,,70217,-208995.84,-208995.84,-208995.84,-309.00,211140,2014-05-09,,AccountValue is Negative
1525833,,70219,-436611.29,-436611.29,-436611.29,-536.61,211140,2014-05-09,,AccountValue is Negative
1528560,,70218,-373880.08,-373880.08,-373880.08,-473.88,211140,2014-05-09,,AccountValue is Negative
1529892,,70212,-35266.98,-35266.98,-35266.98,-135.27,211140,2014-05-09,,AccountValue is Negative
1537772,,70208,-14233.11,-14233.11,-14233.11,-114.23,211140,2014-05-09,,AccountValue is Negative
1542966,,70213,-37519.07,-37519.07,-37519.07,-137.52,211140,2014-05-09,,AccountValue is Negative
1547506,,70215,-74546.01,-74546.01,-74546.01,-174.55,211140,2014-05-09,,AccountValue is Negative
1547524,,70216,-205368.43,-205368.43,-205368.43,-305.37,211140,2014-05-09,,AccountValue is Negative
